Customer ID, INCOME , SAVINGS , DEBT , CLOTHING  , EDUCATION , ENTERTAINMENT , FINES , GAMBLING , GROCERIES , HEALTH , HOUSING , TAX , TRAVEL , UTILITIES , EXPENDITURE , CAT_GAMBLING ,CAT_DEBT,CAT_CREDIT_CARD,CAT_MORTGAGE,CAT_SAVINGS_ACCOUNT,CAT_DEPENDENTS,CREDIT_SCORE,DEFAULT
C02COQEVYU,"$33,269.00 ", $-   ,"$532,304.00 ","$1,889.00 ", $-   ,"$3,068.00 ", $-   ,"$1,313.00 ","$4,849.00 ",$320.00 ,"$3,006.00 ", $-   ,"$17,893.00 ",$931.00 ,"$33,269.00 ", High ,1,0,0,0,0,444,1
C02OZKC0ZF,"$77,158.00 ","$91,187.00 ","$315,648.00 ","$5,818.00 ", $-   ,"$17,244.00 ", $-   , $-   ,"$5,224.00 ",$467.00 ,"$16,339.00 ","$1,973.00 ","$20,234.00 ","$2,845.00 ","$70,144.00 ", No ,1,0,0,1,0,625,0
C03FHP2D0A,"$30,917.00 ","$21,642.00 ","$534,864.00 ","$1,157.00 ", $-   ,"$3,611.00 ",$36.00 ,"$1,201.00 ","$4,335.00 ",$891.00 ,"$2,759.00 ", $-   ,"$16,072.00 ",$855.00 ,"$30,917.00 ", High ,1,0,0,1,0,469,1
C03PVPPHOY,"$80,657.00 ","$64,526.00 ","$629,125.00 ","$6,857.00 ","$4,402.00 ","$13,446.00 ", $-   ,"$7,796.00 ","$4,547.00 ","$2,068.00 ","$12,619.00 ","$1,675.00 ","$25,038.00 ","$2,209.00 ","$80,657.00 ", High ,1,0,0,1,0,559,0
C04J69MUX0,"$149,971.00 ","$1,172,498.00 ","$2,399,531.00 ","$1,978.00 ", $-   ,"$5,194.00 ", $-   ,"$1,734.00 ","$34,814.00 ","$7,513.00 ","$42,658.00 ","$3,941.00 ","$28,167.00 ","$10,338.00 ","$136,337.00 ", High ,1,1,1,1,1,473,0
C04Q46QKOG,"$181,636.00 ","$339,055.00 ","$1,695,274.00 ","$11,446.00 ","$5,680.00 ","$21,832.00 ", $-   , $-   ,"$24,778.00 ","$7,429.00 ","$30,650.00 ","$7,889.00 ", $-   ,"$11,387.00 ","$121,091.00 ", No ,1,0,0,1,0,596,0
C069MLDS7X,"$60,881.00 ","$42,617.00 ","$383,550.00 ","$2,658.00 ", $-   ,"$10,264.00 ",$479.00 , $-   ,"$3,207.00 ","$1,947.00 ","$9,741.00 ","$1,411.00 ","$29,482.00 ","$1,692.00 ","$60,881.00 ", No ,1,0,0,1,0,580,0
C07VC05Z4R,"$220,838.00 ","$186,863.00 ","$2,225,362.00 ","$4,383.00 ", $-   ,"$35,845.00 ", $-   , $-   ,"$28,124.00 ","$8,873.00 ", $-   ,"$11,593.00 ","$62,496.00 ","$18,561.00 ","$169,875.00 ", No ,1,1,0,1,0,596,0
C0CLKGEG1L,"$78,615.00 ","$62,892.00 ","$110,061.00 ","$5,912.00 ", $-   ,"$23,931.00 ", $-   ,"$11,716.00 ","$8,023.00 ","$2,793.00 ","$20,089.00 ","$2,668.00 ", $-   ,"$3,483.00 ","$78,615.00 ", High ,1,0,0,1,0,638,0
C0DYD1C2G1,"$174,000.00 ","$1,502,729.00 ","$411,273.00 ","$2,831.00 ", $-   ,"$8,683.00 ", $-   ,"$2,261.00 ","$45,891.00 ","$6,001.00 ","$51,602.00 ","$4,333.00 ","$24,098.00 ","$12,482.00 ","$158,182.00 ", High ,1,0,1,1,1,636,0
C0E07GT6D1,"$193,225.00 ","$1,410,542.00 ","$2,589,215.00 ","$5,276.00 ","$33,375.00 ","$12,255.00 ", $-   , $-   ,"$63,812.00 ","$9,627.00 ", $-   ,"$7,431.00 ","$43,552.00 ","$17,897.00 ","$193,225.00 ", No ,1,1,0,1,1,552,0
C0EOQXXNNB,"$98,937.00 ","$89,043.00 ","$742,028.00 ","$9,001.00 ","$5,049.00 ","$20,305.00 ", $-   ,"$9,201.00 ","$5,212.00 ","$2,119.00 ","$14,503.00 ","$2,100.00 ","$28,927.00 ","$2,520.00 ","$98,937.00 ", High ,1,0,0,1,0,538,1
C0F4LCF4BH,"$14,291.00 ","$207,220.00 ","$20,007.00 ","$1,688.00 ", $-   ,"$3,616.00 ", $-   , $-   ,"$4,430.00 ","$2,731.00 ", $-   ,$161.00 , $-   ,"$1,665.00 ","$14,291.00 ", No ,1,0,0,1,0,624,1
C0FG8K3OV2,"$166,965.00 ","$400,716.00 ","$678,991.00 ","$5,995.00 ","$3,567.00 ","$13,545.00 ", $-   ,"$6,519.00 ","$14,778.00 ","$3,498.00 ", $-   ,"$5,441.00 ","$50,833.00 ","$7,134.00 ","$111,310.00 ", High ,1,0,0,1,0,582,0
C0GE5SFY2G,"$209,348.00 ","$209,348.00 ","$1,084,801.00 ","$16,933.00 ","$8,987.00 ","$27,164.00 ", $-   , $-   ,"$9,925.00 ","$3,851.00 ","$25,734.00 ","$3,416.00 ","$89,829.00 ","$4,477.00 ","$190,316.00 ", No ,1,0,1,1,0,602,0
C0H3H2TKKY,"$82,618.00 ","$859,227.00 ","$132,189.00 ","$1,999.00 ", $-   ,"$9,371.00 ", $-   , $-   ,"$12,729.00 ","$9,104.00 ", $-   ,$468.00 ,"$44,641.00 ","$4,306.00 ","$82,618.00 ", No ,1,0,0,1,0,636,0
C0IDR4CM79,"$56,930.00 ","$404,832.00 ","$56,930.00 ","$1,937.00 ", $-   ,"$6,961.00 ", $-   ,$614.00 ,"$8,454.00 ","$2,872.00 ","$14,381.00 ",$383.00 ,"$24,453.00 ","$3,200.00 ","$63,255.00 ", Low ,1,0,1,1,0,651,0
C0IXKYKMRL,"$35,512.00 ","$17,756.00 ","$273,442.00 ","$5,392.00 ","$3,697.00 ","$11,236.00 ", $-   ,"$6,627.00 ","$4,058.00 ","$1,246.00 ", $-   ,"$1,413.00 ", $-   ,"$1,843.00 ","$35,512.00 ", High ,1,0,0,1,0,548,0
C0JCQCXNXT, $-   ,"$57,923.00 ","$57,923.00 ", $-   , $-   , $-   , $-   ,$530.00 ,$876.00 ,$182.00 , $-   , $-   ,"$13,223.00 ",$432.00 ,"$15,243.00 ", Low ,1,0,0,1,0,576,0
C0JKTNB2TD,"$25,301.00 ","$232,310.00 ","$23,001.00 ","$1,130.00 ", $-   ,"$2,706.00 ", $-   , $-   ,"$3,839.00 ","$1,256.00 ","$5,600.00 ",$132.00 ,"$7,095.00 ","$1,243.00 ","$23,001.00 ", No ,1,0,0,1,0,593,0
C0K3Z24G8I,"$378,893.00 ","$622,467.00 ","$1,975,657.00 ","$22,731.00 ","$8,396.00 ","$31,975.00 ", $-   , $-   ,"$34,507.00 ","$12,037.00 ", $-   ,"$13,890.00 ","$130,447.00 ","$16,655.00 ","$270,638.00 ", No ,1,0,0,1,0,563,1
C0KC053WZW,"$6,789.00 ","$3,879.00 ", $-   ,$124.00 , $-   ,"$2,460.00 ", $-   , $-   ,$438.00 , $-   , $-   , $-   ,"$6,676.00 ", $-   ,"$9,698.00 ", No ,0,0,0,1,0,599,0
C0MI6LD2MJ,"$11,371.00 ","$91,999.00 ","$9,303.00 ",$562.00 , $-   ,"$2,904.00 ", $-   ,$204.00 ,"$3,254.00 ","$2,177.00 ", $-   ,$132.00 , $-   ,"$1,104.00 ","$10,337.00 ", Low ,1,0,0,1,0,673,0
C0PTXJAE8V,"$81,157.00 ","$14,756.00 ","$81,157.00 ","$14,177.00 ", $-   ,"$26,533.00 ", $-   ,"$12,895.00 ","$10,293.00 ","$2,527.00 ", $-   ,"$3,011.00 ", $-   ,"$4,343.00 ","$73,779.00 ", High ,1,0,0,1,0,646,0
C0Q3WMNWFK,"$126,790.00 ","$369,803.00 ","$1,215,067.00 ","$8,313.00 ","$4,359.00 ","$16,217.00 ", $-   , $-   ,"$14,884.00 ","$8,582.00 ", $-   ,"$6,613.00 ","$38,039.00 ","$8,651.00 ","$105,658.00 ", No ,1,0,0,1,0,581,0
C0SQRDFFQJ,"$189,395.00 ","$206,612.00 ","$671,490.00 ","$16,742.00 ","$9,353.00 ","$28,487.00 ", $-   ,"$17,294.00 ","$8,315.00 ","$3,014.00 ","$26,779.00 ","$3,879.00 ","$53,665.00 ","$4,649.00 ","$172,177.00 ", High ,1,0,0,1,0,633,0
C0TALH5KLT,"$26,754.00 ","$16,052.00 ","$179,252.00 ","$2,720.00 ", $-   ,"$9,066.00 ", $-   , $-   ,"$2,960.00 ",$870.00 ,"$8,599.00 ","$1,040.00 ", $-   ,"$1,499.00 ","$26,754.00 ", No ,1,0,0,1,0,566,0
C0TDWDICDY,"$113,172.00 ","$833,360.00 ","$967,110.00 ","$3,519.00 ", $-   ,"$8,629.00 ", $-   , $-   ,"$56,103.00 ","$11,038.00 ", $-   ,"$6,529.00 ", $-   ,"$17,066.00 ","$102,884.00 ", No ,1,0,0,1,1,596,0
C0TLIMKF6J, $-   ,"$55,493.00 ","$96,098.00 ", $-   , $-   , $-   , $-   , $-   ,$865.00 ,$149.00 ,"$1,210.00 ", $-   ,"$10,886.00 ",$425.00 ,"$13,535.00 ", No ,1,0,0,1,0,623,0
C0U8XZDDOH,"$60,213.00 ","$876,429.00 ","$73,593.00 ","$2,928.00 ", $-   ,"$10,110.00 ", $-   , $-   ,"$10,364.00 ","$8,264.00 ","$15,444.00 ",$408.00 ,"$15,967.00 ","$3,418.00 ","$66,903.00 ", No ,1,0,0,1,0,630,1
C0VFGMXCSY,"$49,201.00 ","$44,281.00 ","$226,325.00 ","$5,277.00 ","$2,939.00 ","$9,025.00 ", $-   , $-   ,"$3,015.00 ","$1,056.00 ","$8,410.00 ","$1,117.00 ","$16,896.00 ","$1,466.00 ","$49,201.00 ", No ,1,0,0,1,0,624,0
C0XPGEXHTU,"$364,432.00 ","$1,027,036.00 ","$2,285,984.00 ","$1,855.00 ","$35,493.00 ","$20,864.00 ", $-   ,"$3,292.00 ","$83,549.00 ","$15,147.00 ","$77,834.00 ","$7,843.00 ","$66,650.00 ","$18,775.00 ","$331,302.00 ", High ,1,1,1,1,1,597,0
C0XX9E31V4,"$122,247.00 ","$48,899.00 ","$1,014,650.00 ","$7,797.00 ", $-   ,"$29,714.00 ", $-   , $-   ,"$9,994.00 ","$4,025.00 ", $-   ,"$4,023.00 ","$61,850.00 ","$4,844.00 ","$122,247.00 ", No ,1,1,0,1,0,581,0
C0YWSHXQ6S,"$276,482.00 ","$1,543,693.00 ","$23,040.00 ","$11,165.00 ","$34,084.00 ","$12,021.00 ", $-   ,"$2,881.00 ","$70,272.00 ","$10,853.00 ", $-   ,"$7,538.00 ","$63,455.00 ","$18,133.00 ","$230,402.00 ", High ,1,0,0,1,1,670,0
C0ZGQ31QU3,"$455,849.00 ","$1,329,559.00 ","$1,063,647.00 ","$17,402.00 ", $-   ,"$54,719.00 ", $-   , $-   ,"$41,827.00 ","$16,926.00 ","$54,515.00 ","$16,846.00 ","$157,319.00 ","$20,320.00 ","$379,874.00 ", No ,1,1,1,1,0,645,1
C100A9BNEE,"$22,231.00 ","$244,541.00 ","$37,793.00 ","$1,342.00 ", $-   ,"$2,069.00 ", $-   , $-   ,"$3,115.00 ","$2,498.00 ", $-   ,$108.00 ,"$12,149.00 ",$950.00 ,"$22,231.00 ", No ,1,0,0,1,0,616,1
C13TFY2W0E,"$199,356.00 ","$398,712.00 ","$398,712.00 ","$25,087.00 ", $-   ,"$25,035.00 ", $-   , $-   ,"$27,590.00 ","$11,241.00 ", $-   ,"$11,085.00 ","$52,857.00 ","$13,235.00 ","$166,130.00 ", No ,1,0,0,1,0,632,0
C157QHWMOM,"$62,978.00 ","$377,870.00 ","$108,781.00 ","$1,457.00 ", $-   ,"$6,502.00 ", $-   , $-   ,"$6,506.00 ","$6,734.00 ","$13,535.00 ",$330.00 ,"$19,201.00 ","$2,988.00 ","$57,253.00 ", No ,1,0,0,1,0,639,0
C1DR8RYO0F, $-   ,"$6,979.00 ","$6,611.00 ", $-   , $-   , $-   , $-   ,$609.00 ,$900.00 ,$114.00 ,"$1,518.00 ", $-   , $-   ,$532.00 ,"$3,673.00 ", Low ,1,0,0,1,0,490,0
C1E91TINGW,"$167,342.00 ","$669,370.00 ","$1,073,780.00 ","$16,029.00 ", $-   ,"$38,827.00 ", $-   ,"$15,692.00 ","$31,368.00 ","$10,841.00 ", $-   ,"$11,570.00 ", $-   ,"$15,125.00 ","$139,452.00 ", High ,1,1,0,1,0,555,0
C1EO8P62U5,"$29,647.00 ","$438,776.00 ","$41,506.00 ","$1,361.00 ", $-   ,"$3,879.00 ", $-   , $-   ,"$5,206.00 ","$2,148.00 ", $-   ,$176.00 ,"$15,305.00 ","$1,572.00 ","$29,647.00 ", No ,1,0,0,1,0,644,1
